Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID220162,220162,36,25.739,710.807,47.051,0,0,0,7.500,1,46.755,46.896,1075.544,None,None,None,None,None,None,None,-10921639,1075.544,619,79,3536,525941,930.528,9.170,0.611,0.877
ID220160,220160,None,12.853,895.704,34.185,0,0,0,7.500,1,50.292,56.237,736.667,None,None,None,None,None,None,None,-10921639,736.667,362,125,3046,360230,588.124,7.653,0.318,0.605
ID220167,220167,37,22.861,878.021,86.574,0,0,0,7.500,1,49.556,66.086,1245.849,None,None,None,None,None,None,None,-10921639,1245.849,1311,189,3694,609220,766.184,9.946,0.610,1.233
ID220170,220170,507,26.706,933.536,110.091,0,0,0,7.500,1,52.049,79.875,1310.930,None,None,None,None,None,None,None,-10921639,1310.930,1241,65,4103,641045,993.556,10.069,0.644,1.034
ID220175,220175,42,16.117,905.597,143.050,0,0,0,7.500,1,77.129,49.765,885.401,None,None,None,None,None,None,None,-10921639,885.401,876,170,2853,432961,579.132,8.236,0.516,1.040
ID220174,220174,43,16.008,927.120,136.170,0,0,0,7.500,1,130.859,50.861,869.415,None,None,None,None,None,None,None,-10921639,869.415,844,156,2625,425144,590.303,9.754,0.503,0.985
ID220187,220187,46,31.296,668.444,248.506,0,0,0,7.500,1,46.384,86.793,1721.405,None,None,None,None,None,None,None,-10921639,1721.405,1767,162,4383,841767,870.974,13.495,0.715,1.648
ID220185,220185,615,25.343,126.836,238.716,0,0,0,7.500,1,49.350,49.387,1527.798,None,None,None,None,None,None,None,-10921639,1527.798,1487,183,3826,747093,674.461,13.402,0.648,1.781
ID220184,220184,47,28.756,155.257,237.636,0,0,0,7.500,1,49.378,49.272,1634.609,None,None,None,None,None,None,None,-10921639,1634.609,1575,208,4364,799324,667.940,13.600,0.696,2.009
ID220189,220189,49,10.970,1132.865,274.943,0,0,0,7.500,1,102.160,71.364,650.654,None,None,None,None,None,None,None,-10921639,650.654,358,111,3132,318170,553.948,7.510,0.322,0.572
ID220188,220188,50,18.688,95.358,253.659,0,0,0,7.500,1,48.806,48.781,1188.047,None,None,None,None,None,None,None,-10921639,1188.047,1205,202,2496,580955,467.563,13.328,0.586,1.877
ID220193,220193,None,10.421,811.190,311.508,0,0,0,7.500,1,42.939,42.818,731.321,None,None,None,None,None,None,None,-10921639,731.321,470,101,3351,357616,594.424,10.559,0.468,0.785
ID220192,220192,51,31.836,675.790,297.939,0,0,0,7.500,1,43.804,84.834,1639.888,None,None,None,None,None,None,None,-10921639,1639.888,1775,157,4220,801905,953.640,9.974,0.664,1.372
ID220199,220199,629,23.201,694.157,349.870,0,0,0,7.500,1,40.106,52.366,1315.630,None,None,None,None,None,None,None,-10921639,1315.630,1305,152,3543,643343,697.236,10.562,0.641,1.474
ID220198,220198,57,26.700,723.317,341.641,0,0,0,7.500,1,42.274,81.033,1541.288,None,None,None,None,None,None,None,-10921639,1541.288,1577,188,3779,753690,721.979,13.280,0.687,1.738
ID220197,220197,54,28.000,654.451,335.833,0,0,0,7.500,1,39.706,63.859,1443.211,None,None,None,None,None,None,None,-10921639,1443.211,1491,155,4161,705730,819.514,10.464,0.699,1.449
